"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
504,1372880798000,1372881302000,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,18793,"Subscriber",1984,1
151,1372881357000,1372881508000,459,"W 20 St & 11 Ave",40.746745,-74.007756,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,20142,"Subscriber",1983,1
1723,1372881598000,1372883321000,337,"Old Slip & Front St",40.7037992,-74.00838676000001,503,"E 20 St & Park Ave",40.73827428,-73.98751968,19472,"Subscriber",1983,1
133,1372883032000,1372883165000,476,"E 31 St & 3 Ave",40.74394314,-73.97966069,475,"E 16 St & Irving Pl",40.73524276,-73.98758561,17663,"Subscriber",1951,1
207,1372887147000,1372887354000,406,"Hicks St & Montague St",40.69512845,-73.99595065,391,"Clark St & Henry St",40.69760127,-73.99344559000001,17473,"Subscriber",1951,1
1913,1372887656000,1372889569000,407,"Henry St & Poplar St",40.700469,-73.99145399999999,331,"Pike St & Monroe St",40.71173107,-73.99193043,17652,"Customer",,0
702,1372889111000,1372889813000,383,"Greenwich Ave & Charles St",40.735237999999995,-74.000271,377,"6 Ave & Canal St",40.72243797,-74.00566443,20137,"Subscriber",1969,1
511,1372889207000,1372889718000,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,546,"E 30 St & Park Ave S",40.74444921,-73.98303529,17679,"Subscriber",1990,1
1406,1372889652000,1372891058000,463,"9 Ave & W 16 St",40.74206539,-74.00443172,510,"W 51 St & 6 Ave",40.7606597,-73.98042047,15818,"Subscriber",1963,1
1613,1372889825000,1372891438000,398,"Atlantic Ave & Furman St",40.69165183,-73.99997859999999,398,"Atlantic Ave & Furman St",40.69165183,-73.99997859999999,16128,"Customer",,0
531,1372890127000,1372890658000,495,"W 47 St & 10 Ave",40.762698820000004,-73.99301222,496,"E 16 St & 5 Ave",40.737261860000004,-73.99238967000001,14920,"Subscriber",1990,1
