Code,Name,dispCode,updatedCode
U+1F93E U+1F3FE U+200D U+2640 U+FE0F,woman playing handball: medium-dark skin tone,U0001F93E U0001F3FE U000200D U0002640 U000FE0F,U0001F93E U0001F3FE U0000200D U00002640 U0000FE0F
U+1F93E U+1F3FF U+200D U+2640 U+FE0F,woman playing handball: dark skin tone,U0001F93E U0001F3FF U000200D U0002640 U000FE0F,U0001F93E U0001F3FF U0000200D U00002640 U0000FE0F
U+1F939,person juggling,U0001F939,U0001F939
U+1F939 U+1F3FB,person juggling: light skin tone,U0001F939 U0001F3FB,U0001F939 U0001F3FB
U+1F939 U+1F3FC,person juggling: medium-light skin tone,U0001F939 U0001F3FC,U0001F939 U0001F3FC
U+1F939 U+1F3FD,person juggling: medium skin tone,U0001F939 U0001F3FD,U0001F939 U0001F3FD
U+1F939 U+1F3FE,person juggling: medium-dark skin tone,U0001F939 U0001F3FE,U0001F939 U0001F3FE
U+1F939 U+1F3FF,person juggling: dark skin tone,U0001F939 U0001F3FF,U0001F939 U0001F3FF
U+1F939 U+200D U+2642 U+FE0F,man juggling,U0001F939 U000200D U0002642 U000FE0F,U0001F939 U0000200D U00002642 U0000FE0F
U+1F939 U+1F3FB U+200D U+2642 U+FE0F,man juggling: light skin tone,U0001F939 U0001F3FB U000200D U0002642 U000FE0F,U0001F939 U0001F3FB U0000200D U00002642 U0000FE0F
U+1F939 U+1F3FC U+200D U+2642 U+FE0F,man juggling: medium-light skin tone,U0001F939 U0001F3FC U000200D U0002642 U000FE0F,U0001F939 U0001F3FC U0000200D U00002642 U0000FE0F
U+1F939 U+1F3FD U+200D U+2642 U+FE0F,man juggling: medium skin tone,U0001F939 U0001F3FD U000200D U0002642 U000FE0F,U0001F939 U0001F3FD U0000200D U00002642 U0000FE0F
U+1F939 U+1F3FE U+200D U+2642 U+FE0F,man juggling: medium-dark skin tone,U0001F939 U0001F3FE U000200D U0002642 U000FE0F,U0001F939 U0001F3FE U0000200D U00002642 U0000FE0F
U+1F939 U+1F3FF U+200D U+2642 U+FE0F,man juggling: dark skin tone,U0001F939 U0001F3FF U000200D U0002642 U000FE0F,U0001F939 U0001F3FF U0000200D U00002642 U0000FE0F
U+1F939 U+200D U+2640 U+FE0F,woman juggling,U0001F939 U000200D U0002640 U000FE0F,U0001F939 U0000200D U00002640 U0000FE0F
U+1F939 U+1F3FB U+200D U+2640 U+FE0F,woman juggling: light skin tone,U0001F939 U0001F3FB U000200D U0002640 U000FE0F,U0001F939 U0001F3FB U0000200D U00002640 U0000FE0F
U+1F939 U+1F3FC U+200D U+2640 U+FE0F,woman juggling: medium-light skin tone,U0001F939 U0001F3FC U000200D U0002640 U000FE0F,U0001F939 U0001F3FC U0000200D U00002640 U0000FE0F
U+1F939 U+1F3FD U+200D U+2640 U+FE0F,woman juggling: medium skin tone,U0001F939 U0001F3FD U000200D U0002640 U000FE0F,U0001F939 U0001F3FD U0000200D U00002640 U0000FE0F
U+1F939 U+1F3FE U+200D U+2640 U+FE0F,woman juggling: medium-dark skin tone,U0001F939 U0001F3FE U000200D U0002640 U000FE0F,U0001F939 U0001F3FE U0000200D U00002640 U0000FE0F
U+1F939 U+1F3FF U+200D U+2640 U+FE0F,woman juggling: dark skin tone,U0001F939 U0001F3FF U000200D U0002640 U000FE0F,U0001F939 U0001F3FF U0000200D U00002640 U0000FE0F
U+1F46B,man and woman holding hands,U0001F46B,U0001F46B
U+1F46C,two men holding hands,U0001F46C,U0001F46C
U+1F46D,two women holding hands,U0001F46D,U0001F46D
U+1F48F,kiss,U0001F48F,U0001F48F
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: woman, man",U0001F469 U000200D U0002764 U000FE0F U000200D U0001F48B U000200D U0001F468,U0001F469 U0000200D U00002764 U0000FE0F U0000200D U0001F48B U0000200D U0001F468
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: man, man",U0001F468 U000200D U0002764 U000FE0F U000200D U0001F48B U000200D U0001F468,U0001F468 U0000200D U00002764 U0000FE0F U0000200D U0001F48B U0000200D U0001F468
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,"kiss: woman, woman",U0001F469 U000200D U0002764 U000FE0F U000200D U0001F48B U000200D U0001F469,U0001F469 U0000200D U00002764 U0000FE0F U0000200D U0001F48B U0000200D U0001F469
U+1F491,couple with heart,U0001F491,U0001F491
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: woman, man",U0001F469 U000200D U0002764 U000FE0F U000200D U0001F468,U0001F469 U0000200D U00002764 U0000FE0F U0000200D U0001F468
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: man, man",U0001F468 U000200D U0002764 U000FE0F U000200D U0001F468,U0001F468 U0000200D U00002764 U0000FE0F U0000200D U0001F468
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,"couple with heart: woman, woman",U0001F469 U000200D U0002764 U000FE0F U000200D U0001F469,U0001F469 U0000200D U00002764 U0000FE0F U0000200D U0001F469
U+1F46A,family,U0001F46A,U0001F46A
U+1F468 U+200D U+1F469 U+200D U+1F466,"family: man, woman, boy",U0001F468 U000200D U0001F469 U000200D U0001F466,U0001F468 U0000200D U0001F469 U0000200D U0001F466
