_,Code,Name
307,U+1F468 U+1F3FE U+200D U+2708 U+FE0F,man pilot: medium-dark skin tone
308,U+1F468 U+1F3FF U+200D U+2708 U+FE0F,man pilot: dark skin tone
309,U+1F469 U+200D U+2708 U+FE0F,woman pilot
310,U+1F469 U+1F3FB U+200D U+2708 U+FE0F,woman pilot: light skin tone
311,U+1F469 U+1F3FC U+200D U+2708 U+FE0F,woman pilot: medium-light skin tone
312,U+1F469 U+1F3FD U+200D U+2708 U+FE0F,woman pilot: medium skin tone
313,U+1F469 U+1F3FE U+200D U+2708 U+FE0F,woman pilot: medium-dark skin tone
314,U+1F469 U+1F3FF U+200D U+2708 U+FE0F,woman pilot: dark skin tone
315,U+1F468 U+200D U+1F680,man astronaut
316,U+1F468 U+1F3FB U+200D U+1F680,man astronaut: light skin tone
317,U+1F468 U+1F3FC U+200D U+1F680,man astronaut: medium-light skin tone
318,U+1F468 U+1F3FD U+200D U+1F680,man astronaut: medium skin tone
319,U+1F468 U+1F3FE U+200D U+1F680,man astronaut: medium-dark skin tone
320,U+1F468 U+1F3FF U+200D U+1F680,man astronaut: dark skin tone
321,U+1F469 U+200D U+1F680,woman astronaut
322,U+1F469 U+1F3FB U+200D U+1F680,woman astronaut: light skin tone
323,U+1F469 U+1F3FC U+200D U+1F680,woman astronaut: medium-light skin tone
324,U+1F469 U+1F3FD U+200D U+1F680,woman astronaut: medium skin tone
325,U+1F469 U+1F3FE U+200D U+1F680,woman astronaut: medium-dark skin tone
326,U+1F469 U+1F3FF U+200D U+1F680,woman astronaut: dark skin tone
327,U+1F468 U+200D U+1F692,man firefighter
328,U+1F468 U+1F3FB U+200D U+1F692,man firefighter: light skin tone
329,U+1F468 U+1F3FC U+200D U+1F692,man firefighter: medium-light skin tone
330,U+1F468 U+1F3FD U+200D U+1F692,man firefighter: medium skin tone
331,U+1F468 U+1F3FE U+200D U+1F692,man firefighter: medium-dark skin tone
332,U+1F468 U+1F3FF U+200D U+1F692,man firefighter: dark skin tone
333,U+1F469 U+200D U+1F692,woman firefighter
334,U+1F469 U+1F3FB U+200D U+1F692,woman firefighter: light skin tone
335,U+1F469 U+1F3FC U+200D U+1F692,woman firefighter: medium-light skin tone
336,U+1F469 U+1F3FD U+200D U+1F692,woman firefighter: medium skin tone
337,U+1F469 U+1F3FE U+200D U+1F692,woman firefighter: medium-dark skin tone
338,U+1F469 U+1F3FF U+200D U+1F692,woman firefighter: dark skin tone
339,U+1F46E,police officer
340,U+1F46E U+1F3FB,police officer: light skin tone
341,U+1F46E U+1F3FC,police officer: medium-light skin tone
342,U+1F46E U+1F3FD,police officer: medium skin tone
343,U+1F46E U+1F3FE,police officer: medium-dark skin tone
344,U+1F46E U+1F3FF,police officer: dark skin tone
345,U+1F46E U+200D U+2642 U+FE0F,man police officer
346,U+1F46E U+1F3FB U+200D U+2642 U+FE0F,man police officer: light skin tone
347,U+1F46E U+1F3FC U+200D U+2642 U+FE0F,man police officer: medium-light skin tone
348,U+1F46E U+1F3FD U+200D U+2642 U+FE0F,man police officer: medium skin tone
349,U+1F46E U+1F3FE U+200D U+2642 U+FE0F,man police officer: medium-dark skin tone
350,U+1F46E U+1F3FF U+200D U+2642 U+FE0F,man police officer: dark skin tone
351,U+1F46E U+200D U+2640 U+FE0F,woman police officer
352,U+1F46E U+1F3FB U+200D U+2640 U+FE0F,woman police officer: light skin tone
353,U+1F46E U+1F3FC U+200D U+2640 U+FE0F,woman police officer: medium-light skin tone
354,U+1F46E U+1F3FD U+200D U+2640 U+FE0F,woman police officer: medium skin tone
355,U+1F46E U+1F3FE U+200D U+2640 U+FE0F,woman police officer: medium-dark skin tone
356,U+1F46E U+1F3FF U+200D U+2640 U+FE0F,woman police officer: dark skin tone
357,U+1F575,detective
358,U+1F575 U+1F3FB,detective: light skin tone
359,U+1F575 U+1F3FC,detective: medium-light skin tone
360,U+1F575 U+1F3FD,detective: medium skin tone
361,U+1F575 U+1F3FE,detective: medium-dark skin tone
362,U+1F575 U+1F3FF,detective: dark skin tone
363,U+1F575 U+FE0F U+200D U+2642 U+FE0F,man detective
364,U+1F575 U+1F3FB U+200D U+2642 U+FE0F,man detective: light skin tone
365,U+1F575 U+1F3FC U+200D U+2642 U+FE0F,man detective: medium-light skin tone
366,U+1F575 U+1F3FD U+200D U+2642 U+FE0F,man detective: medium skin tone
