Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/17  11:00:00,955.600374295,102.087533008,440.321265666,0.0,65.1572554096,220.04316451,539.819258227,433.728165506,70.808374512,35.2827182091
 12/17  12:00:00,957.339458042,102.087533008,440.780032363,0.0,65.1572554096,220.04316451,519.478220772,422.205417726,70.808374512,26.4644285345
 12/17  13:00:00,957.476738052,102.087533008,441.664595799,0.0,65.1572554096,220.04316451,524.207311978,426.934915315,70.808374512,26.4640221515
 12/17  14:00:00,952.799873142,102.087533008,443.785942758,0.0,65.1572554096,212.545889182,512.004848658,428.895117953,56.6466996096,26.4630310961
 12/17  15:00:00,954.072564969,102.087533008,445.066872156,0.0,65.1572554096,212.545889182,512.678702756,434.911997741,42.4850247072,35.2816803082
 12/17  16:00:00,953.786405563,102.087533008,444.936481769,0.0,65.1572554096,212.545889182,539.826071095,456.714152296,56.6466996096,26.4652191887
 12/17  17:00:00,928.811203171,102.087533008,443.1392247,0.0,65.1572554096,220.04316451,586.389268644,474.955894209,84.9700494144,26.4633250202
 12/17  18:00:00,888.823101464,102.087533008,439.182242354,0.0,54.0258772165,184.38654557,600.823197643,489.509416985,84.9700494144,26.3437312442
 12/17  19:00:00,856.404987333,102.087533008,436.964369105,0.0,44.4937663224,163.454314868,617.109772648,514.727018578,84.9700494144,17.4127046562
 12/17  20:00:00,848.540050433,102.087533008,435.810036043,0.0,44.4937663224,155.95703954,585.454268314,520.090114372,56.6466996096,8.71745433289
 12/17  21:00:00,816.484007046,102.087533008,435.18808241,0.0,44.4937663224,124.558693486,632.420762146,558.359781722,56.6466996096,17.4142808139
 12/17  22:00:00,815.761289484,102.087533008,434.818839842,0.0,44.4937663224,124.558693486,626.985731279,567.088294202,42.4850247072,17.4124123696
 12/17  23:00:00,804.193597932,102.087533008,433.317126522,0.0,34.9616554283,124.558693486,619.08815501,582.047497857,28.3233498048,8.71730734874
